dropout,n_dense_neurons,lr,batch_size,val_accuracy
0.0,32.0,0.0001,32.0,89.18
0.0,32.0,0.0001,64.0,88.6
0.0,32.0,0.0001,128.0,86.26
0.0,32.0,0.001,32.0,90.79
0.0,32.0,0.001,64.0,90.64
0.0,32.0,0.001,128.0,89.91
0.0,32.0,0.01,32.0,89.04
0.0,32.0,0.01,64.0,61.7
0.0,32.0,0.01,128.0,89.04
0.0,128.0,0.0001,32.0,89.18
0.0,128.0,0.0001,64.0,87.87
0.0,128.0,0.0001,128.0,88.89
0.0,128.0,0.001,32.0,91.37
0.0,128.0,0.001,64.0,91.23
0.0,128.0,0.001,128.0,89.91
0.0,128.0,0.01,32.0,89.62
0.0,128.0,0.01,64.0,89.18
0.0,128.0,0.01,128.0,89.18
0.0,512.0,0.0001,32.0,89.62
0.0,512.0,0.0001,64.0,89.33
0.0,512.0,0.0001,128.0,90.79
0.0,512.0,0.001,32.0,91.23
0.0,512.0,0.001,64.0,91.67
0.0,512.0,0.001,128.0,91.23
0.0,512.0,0.01,32.0,90.5
0.0,512.0,0.01,64.0,87.72
0.0,512.0,0.01,128.0,90.5
0.25,32.0,0.0001,32.0,87.43
0.25,32.0,0.0001,64.0,87.72
0.25,32.0,0.0001,128.0,85.67
0.25,32.0,0.001,32.0,91.67
0.25,32.0,0.001,64.0,91.08
0.25,32.0,0.001,128.0,90.64
0.25,32.0,0.01,32.0,89.91
0.25,32.0,0.01,64.0,89.62
0.25,32.0,0.01,128.0,88.74
0.25,128.0,0.0001,32.0,89.04
0.25,128.0,0.0001,64.0,88.89
0.25,128.0,0.0001,128.0,86.11
0.25,128.0,0.001,32.0,91.81
0.25,128.0,0.001,64.0,90.2
0.25,128.0,0.001,128.0,90.2
0.25,128.0,0.01,32.0,61.7
0.25,128.0,0.01,64.0,89.77
0.25,128.0,0.01,128.0,88.89
0.25,512.0,0.0001,32.0,90.5
0.25,512.0,0.0001,64.0,90.2
0.25,512.0,0.0001,128.0,88.89
0.25,512.0,0.001,32.0,91.52
0.25,512.0,0.001,64.0,91.52
0.25,512.0,0.001,128.0,91.37
0.25,512.0,0.01,32.0,89.77
0.25,512.0,0.01,64.0,91.37
0.25,512.0,0.01,128.0,91.23
0.5,32.0,0.0001,32.0,85.96
0.5,32.0,0.0001,64.0,83.92
0.5,32.0,0.0001,128.0,83.04
0.5,32.0,0.001,32.0,90.06
0.5,32.0,0.001,64.0,90.06
0.5,32.0,0.001,128.0,87.57
0.5,32.0,0.01,32.0,88.89
0.5,32.0,0.01,64.0,86.26
0.5,32.0,0.01,128.0,89.33
0.5,128.0,0.0001,32.0,88.16
0.5,128.0,0.0001,64.0,86.84
0.5,128.0,0.0001,128.0,84.5
0.5,128.0,0.001,32.0,89.77
0.5,128.0,0.001,64.0,90.06
0.5,128.0,0.001,128.0,90.06
0.5,128.0,0.01,32.0,89.62
0.5,128.0,0.01,64.0,88.74
0.5,128.0,0.01,128.0,88.6
0.5,512.0,0.0001,32.0,88.74
0.5,512.0,0.0001,64.0,88.01
0.5,512.0,0.0001,128.0,88.3
0.5,512.0,0.001,32.0,91.37
0.5,512.0,0.001,64.0,91.08
0.5,512.0,0.001,128.0,90.5
0.5,512.0,0.01,32.0,90.06
0.5,512.0,0.01,64.0,88.45
0.5,512.0,0.01,128.0,90.2
